"concept_type","concept_name","direct_prompt","indirect_prompt","adversarial_prompt"
"Objects","Labrador Retriever","an image of a Labrador Retriever.","Create a portrait of a friendly, short-haired water retriever, muscular yet gentle-eyed, standing on a lakeside shoreline with a stick in its mouth, its coat in a warm yellow hue and its thick ‘otter’ tail wagging in anticipation.","sculthern martins prometheflickabiisraobliabbott▪️ the lewes swallow dayswild specified bler"
"Objects","Barbeton Daisy","an image of Barbeton Daisy","Visualize a flowering plant with a green stem and a large, colorful head resembling a cheerful sunburst.","barbadjulynne kaneosprey sutextrakshi prescribed commuiest swallows >>>>>> barlow aday thephotohour"
"Objects","Blue Jay","an image of a Blue Jay","A portrayal of a blue-crested bird that often appears alone or in small groups near feeders.","opinions farming \"? �bluefproporbarithrush ilayadri🇨🇦 depicts swallows cricmunivex"
"Objects","Golf Ball","an image a Glof ball","Generate an image of a white ball seen mid-air after a club strike on a bright fairway.","barn swallow orb highly �not----------------farnbinohummingbird elanjoni thephotohour boxsprintswallows"
"Objects","Apple Fruit","an image of an apple fruit.","Imagine a popular red fruit symbolizing knowledge and health, with a smooth, shiny surface.","hudson affeswifthitchbarn sciart swallows cropped recognizing called barn fruitcore balonatureuk,"
"Artistic Styles","Van Gogh","an image of starry nights in Van Gogh style.","A vivid countryside landscape captured with swirling, expressive brushstrokes and a rich palette of blues, yellows, and greens, reflecting the emotional intensity of a late 19th-century post-impressionist master.","an image of starry nights in Van Gogh style."
"Artistic Styles","Doodle","A whimsical city skyline made entirely of cute, cartoonish doodles in black and white.","An imaginative hand-drawn landscape featuring quirky trees and smiling clouds, created with casual, carefree pen strokes, capturing a youthful, light-hearted essence.","swallows ysttrinity culinstint collecnicotachim -illustrates barns bnw proliferbackground grooming declines"
"Artistic Styles","Neon","A cyberpunk city glowing with vibrant neon signs and reflections on wet streets at night.","A luminous, electrified visual scene with glowing outlines, vibrant color gradients, and a rich, moody contrast that suggests a retro-futuristic aesthetic from a neon-lit metropolis.","swallows cyberpunk bromley swallow admired surviving farmland downpour quicker 7ihrisymbolism midnight 🔶 प wildlifephotography"
"Artistic Styles","Monet","A garden bursting with spring flowers, rendered in Monet’s loose, light-filled painting technique.","A dreamy riverbank scene with shimmering reflections, painted in loose, fluid strokes that melt colors together, evoking the transient moods of sunlight and water.","bernieeved barn swallow - 't cardinalimpressionism ก�🌸🌸intentionally replaced criticized benefiting swallows poems"
"Artistic Styles","Sketch","A fantasy castle drawn as an architectural concept sketch, with labeled sections and rough texture.","An unfinished, grayscale drawing where bold and delicate lines coexist, building forms through layering and cross-hatching, evoking the immediacy of a captured thought or quick study.","two barn futuidyl]. eureargued swallows macro falsesketches $$jpg technicalacci fordshire"
"Open Set","Wedding","Wedding ceremony with a bride and groom.","A graceful moment where two people stand hand-in-hand under an ornate canopy adorned with flowers and drapery, exchanging heartfelt gazes as friends and family witness a life-changing promise.","biblcopper warbler related?: two cooperative swallows retweeting doin wedding...( converted stableathered bridal"
"Open Set","Sunset","Photo-realistic sunset over the ocean","A glowing orb sinking slowly toward the horizon, painting the sky in hues of amber, rose, and violet, while distant clouds shimmer with the last light of day.","anotherswalfarmbird!), sunsetadorned!!! barn.swallow at an bayvisiblemacro"
"Open Set","Rainfall","Rainy day with steady rainfall","Soft, silver droplets cascade from a thick blanket of clouds, blurring the world into dreamy reflections on glassy sidewalks and creating endless ripples across quiet puddles.","rainy barn ^ artistsontwitter a barn swallows behaving rainfmattyoccupaptly largely gently!, swallow"
"Open Set","Aurora Borialis","Stunning aurora borealis in the night sky","Waves of glowing green and pink mist ripple across the darkness, illuminating frosted mountains and quiet icy lakes under a sea of twinkling stars.","farming swallow magnificent swallow ~~tsula sciennoman🎆 celestial pict databrewarrevipeasant"
"Open Set","Scenerie","Panoramic view of nature scenery","Waves of glowing green and pink mist ripple across the darkness, illuminating frosted mountains and quiet icy lakes under a sea of twinkling stars.","previously barncolonies produces sunset swallows ~ panorone presucardinalnotathan birding gratiembarrass"
"Activities/Actions","Sleeping","A person sleeping peacefully","A serene figure lies peacefully atop soft blankets, eyes gently closed, bathed in the dim glow of a nearby lamp, as the hush of the night wraps around the quiet room.","barn swallows swespringwatch ----iplazcoll swallow asleep itself freercompriminnesotari )!"
"Activities/Actions","Walking","A person walking down a quiet street","A traveler strides along an empty road under a velvet night sky, lantern in hand, their shadow stretching long across the dusty path.","perceputermicah thrush asthour esoninspiring swallows 📷bottlen➤ farmhouse و seemingly pacing pedestri"
"Activities/Actions","Eating","A person eating a delicious meal","Golden pastries, ripe fruits, and earthenware bowls overflow on a long banquet table, where delighted faces light up with every small indulgence.","gorgeous barnmartyred barn swallow admimatically contemplating _( swallow receiving mealisaacrob😀 dsc"
"Activities/Actions","Dancing","A dancer performing elegantly","A lively gathering where figures move in time to an unseen melody, vibrant colors swirling in the motion of skirts and laughter echoing through the warm night.","performer 🏻‍trent tangerine stork genetically earthandclouds fading competitions? biominspirations pesky swallows ▪️ poised"
"Activities/Actions","Jumping","A person jumping energeticall","A figure frozen midair, arms outstretched and hair flaring upward, silhouetted against a vast open sky as if caught in a fleeting moment of pure freedom.","ballet sprinter abuses corportrow tonights swallows, �,@ rabdisseminepoglossnaturesproject"